,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0,1872-11-30,Scotland,England,0.0,0.0,Friendly,Glasgow,Scotland,False
1,1873-03-08,England,Scotland,4.0,2.0,Friendly,London,England,False
2,1874-03-07,Scotland,England,2.0,1.0,Friendly,Glasgow,Scotland,False
3,1875-03-06,England,Scotland,2.0,2.0,Friendly,London,England,False
4,1876-03-04,Scotland,England,3.0,0.0,Friendly,Glasgow,Scotland,False
6,1877-03-03,England,Scotland,1.0,3.0,Friendly,London,England,False
8,1878-03-02,Scotland,England,7.0,2.0,Friendly,Glasgow,Scotland,False
10,1879-01-18,England,Wales,2.0,1.0,Friendly,London,England,False
11,1879-04-05,England,Scotland,5.0,4.0,Friendly,London,England,False
13,1880-03-13,Scotland,England,5.0,4.0,Friendly,Glasgow,Scotland,False
14,1880-03-15,Wales,England,2.0,3.0,Friendly,Wrexham,Wales,False
16,1881-02-26,England,Wales,0.0,1.0,Friendly,Blackburn,England,False
17,1881-03-12,England,Scotland,1.0,6.0,Friendly,London,England,False
19,1882-02-18,Northern Ireland,England,0.0,13.0,Friendly,Belfast,Ireland,False
21,1882-03-11,Scotland,England,5.0,1.0,Friendly,Glasgow,Scotland,False
22,1882-03-13,Wales,England,5.0,3.0,Friendly,Wrexham,Wales,False
24,1883-02-03,England,Wales,5.0,0.0,Friendly,London,England,False
25,1883-02-24,England,Northern Ireland,7.0,0.0,Friendly,Liverpool,England,False
26,1883-03-10,England,Scotland,2.0,3.0,Friendly,Sheffield,England,False
31,1884-02-23,Northern Ireland,England,1.0,8.0,British Home Championship,Belfast,Ireland,False
32,1884-03-15,Scotland,England,1.0,0.0,British Home Championship,Glasgow,Scotland,False
33,1884-03-17,Wales,England,0.0,4.0,British Home Championship,Wrexham,Wales,False
35,1885-02-28,England,Northern Ireland,4.0,0.0,British Home Championship,Manchester,England,False
36,1885-03-14,England,Wales,1.0,1.0,British Home Championship,Blackburn,England,False
38,1885-03-21,England,Scotland,1.0,1.0,British Home Championship,London,England,False
41,1885-11-28,United States,Canada,0.0,1.0,Friendly,Newark,United States,False
43,1886-03-13,Northern Ireland,England,1.0,6.0,British Home Championship,Belfast,Ireland,False
45,1886-03-27,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False
46,1886-03-29,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False
48,1886-11-25,United States,Canada,3.0,2.0,Friendly,Newark,United States,False
49,1887-02-05,England,Northern Ireland,7.0,0.0,British Home Championship,Sheffield,England,False
51,1887-02-26,England,Wales,4.0,0.0,British Home Championship,London,England,False
53,1887-03-19,England,Scotland,2.0,3.0,British Home Championship,Blackburn,England,False
55,1888-02-04,England,Wales,5.0,1.0,British Home Championship,Crewe,England,False
58,1888-03-17,Scotland,England,0.0,5.0,British Home Championship,Glasgow,Scotland,False
60,1888-04-07,Northern Ireland,England,1.0,5.0,British Home Championship,Belfast,Ireland,False
62,1889-02-23,England,Wales,4.0,1.0,British Home Championship,Stoke-on-Trent,England,False
63,1889-03-02,England,Northern Ireland,6.0,1.0,British Home Championship,Liverpool,England,False
65,1889-04-13,England,Scotland,2.0,3.0,British Home Championship,London,England,False
69,1890-03-15,Northern Ireland,England,1.0,9.0,British Home Championship,Belfast,Ireland,False
70,1890-03-15,Wales,England,1.0,3.0,British Home Championship,Wrexham,Wales,False
73,1890-04-05,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False
75,1891-03-07,England,Wales,4.0,1.0,British Home Championship,Sunderland,England,False
76,1891-03-07,England,Northern Ireland,6.0,1.0,British Home Championship,Wolverhampton,England,False
79,1891-04-04,England,Scotland,2.0,1.0,British Home Championship,Blackburn,England,False
81,1892-03-05,Northern Ireland,England,0.0,2.0,British Home Championship,Belfast,Ireland,False
82,1892-03-05,Wales,England,0.0,2.0,British Home Championship,Wrexham,Wales,False
85,1892-04-02,Scotland,England,1.0,4.0,British Home Championship,Glasgow,Scotland,False
86,1893-02-25,England,Northern Ireland,6.0,1.0,British Home Championship,Birmingham,England,False
87,1893-03-13,England,Wales,6.0,0.0,British Home Championship,Stoke-on-Trent,England,False
90,1893-04-01,England,Scotland,5.0,2.0,British Home Championship,Richmond,England,False
92,1894-03-03,Northern Ireland,England,2.0,2.0,British Home Championship,Belfast,Ireland,False
93,1894-03-12,Wales,England,1.0,5.0,British Home Championship,Wrexham,Wales,False
96,1894-04-07,Scotland,England,2.0,2.0,British Home Championship,Glasgow,Scotland,False
97,1895-03-09,England,Northern Ireland,9.0,0.0,British Home Championship,Derby,England,False
99,1895-03-18,England,Wales,1.0,1.0,British Home Championship,London,England,False
102,1895-04-06,England,Scotland,3.0,0.0,British Home Championship,Liverpool,England,False
104,1896-03-07,Northern Ireland,England,0.0,2.0,British Home Championship,Belfast,Ireland,False
105,1896-03-16,Wales,England,1.0,9.0,British Home Championship,Cardiff,Wales,False
108,1896-04-04,Scotland,England,2.0,1.0,British Home Championship,Glasgow,Scotland,False
109,1897-02-20,England,Northern Ireland,6.0,0.0,British Home Championship,Nottingham,England,False
113,1897-03-29,England,Wales,4.0,0.0,British Home Championship,Sheffield,England,False
114,1897-04-03,England,Scotland,1.0,2.0,British Home Championship,London,England,False
116,1898-03-05,Northern Ireland,England,2.0,3.0,British Home Championship,Belfast,Ireland,False
119,1898-03-28,Wales,England,0.0,3.0,British Home Championship,Wrexham,Wales,False
120,1898-04-02,Scotland,England,1.0,3.0,British Home Championship,Glasgow,Scotland,False
121,1899-02-18,England,Northern Ireland,13.0,2.0,British Home Championship,Sunderland,England,False
124,1899-03-20,England,Wales,4.0,0.0,British Home Championship,Bristol,England,False
126,1899-04-08,England,Scotland,2.0,1.0,British Home Championship,Birmingham,England,False
130,1900-03-17,Northern Ireland,England,0.0,2.0,British Home Championship,Dublin,Ireland,False
131,1900-03-26,Wales,England,1.0,1.0,British Home Championship,Cardiff,Wales,False
132,1900-04-07,Scotland,England,4.0,1.0,British Home Championship,Glasgow,Scotland,False
135,1901-03-09,England,Northern Ireland,3.0,0.0,British Home Championship,Southampton,England,False
136,1901-03-18,England,Wales,6.0,0.0,British Home Championship,Newcastle,England,False
138,1901-03-30,England,Scotland,2.0,2.0,British Home Championship,London,England,False
141,1902-03-03,Wales,England,0.0,0.0,British Home Championship,Wrexham,Wales,False
143,1902-03-22,Northern Ireland,England,0.0,1.0,British Home Championship,Belfast,Ireland,False
144,1902-05-03,England,Scotland,2.0,2.0,British Home Championship,Birmingham,England,False
145,1902-07-20,Uruguay,Argentina,0.0,6.0,Friendly,Montevideo,Uruguay,False
147,1903-02-14,England,Northern Ireland,4.0,0.0,British Home Championship,Wolverhampton,England,False
148,1903-03-02,England,Wales,2.0,1.0,British Home Championship,Portsmouth,England,False
152,1903-04-04,England,Scotland,1.0,2.0,British Home Championship,Sheffield,England,False
155,1903-09-13,Argentina,Uruguay,2.0,3.0,Friendly,Buenos Aires,Argentina,False
157,1904-02-29,Wales,England,2.0,2.0,British Home Championship,Wrexham,Wales,False
158,1904-03-12,Northern Ireland,England,1.0,3.0,British Home Championship,Belfast,Ireland,False
162,1904-04-09,Scotland,England,0.0,1.0,British Home Championship,Glasgow,Scotland,False
163,1904-05-01,Belgium,France,3.0,3.0,Évence Coppée Trophy,Brussels,Belgium,False
166,1905-02-12,France,Switzerland,1.0,0.0,Friendly,Paris,France,False
167,1905-02-25,England,Northern Ireland,1.0,1.0,British Home Championship,Middlesbrough,England,False
170,1905-03-27,England,Wales,3.0,1.0,British Home Championship,Liverpool,England,False
171,1905-04-01,England,Scotland,1.0,0.0,British Home Championship,London,England,False
176,1905-04-30,Belgium,Netherlands,1.0,4.0,Friendly,Antwerp,Belgium,False
177,1905-05-07,Belgium,France,7.0,0.0,Friendly,Brussels,Belgium,False
178,1905-05-14,Netherlands,Belgium,4.0,0.0,Friendly,Rotterdam,Netherlands,False
180,1905-08-15,Argentina,Uruguay,0.0,0.0,Copa Lipton,Buenos Aires,Argentina,False
181,1906-02-17,Northern Ireland,England,0.0,5.0,British Home Championship,Belfast,Ireland,False
184,1906-03-19,Wales,England,0.0,1.0,British Home Championship,Cardiff,Wales,False
189,1906-04-07,Scotland,England,2.0,1.0,British Home Championship,Glasgow,Scotland,False
190,1906-04-22,France,Belgium,0.0,5.0,Friendly,Saint-Cloud,France,False
191,1906-04-29,Belgium,Netherlands,5.0,0.0,Friendly,Antwerp,Belgium,False
192,1906-05-13,Netherlands,Belgium,2.0,3.0,Friendly,Rotterdam,Netherlands,False
193,1906-07-09,Argentina,South Africa,0.0,1.0,Friendly,Buenos Aires,Argentina,False
194,1906-08-15,Uruguay,Argentina,0.0,2.0,Copa Lipton,Montevideo,Uruguay,False
196,1906-10-21,Argentina,Uruguay,2.0,1.0,Copa Newton,Buenos Aires,Argentina,False
198,1907-02-16,England,Northern Ireland,1.0,0.0,British Home Championship,Liverpool,England,False
202,1907-03-18,England,Wales,1.0,1.0,British Home Championship,London,England,False
205,1907-04-06,England,Scotland,1.0,1.0,British Home Championship,Newcastle,England,False
207,1907-04-14,Belgium,Netherlands,1.0,3.0,Friendly,Antwerp,Belgium,False
208,1907-04-21,Belgium,France,1.0,2.0,Friendly,Brussels,Belgium,False
210,1907-05-09,Netherlands,Belgium,1.0,2.0,Friendly,Haarlem,Netherlands,False
213,1908-02-15,Northern Ireland,England,1.0,3.0,British Home Championship,Belfast,Ireland,False
215,1908-03-08,Switzerland,France,1.0,2.0,Friendly,Geneva,Switzerland,False
217,1908-03-16,Wales,England,1.0,7.0,British Home Championship,Wrexham,Wales,False
218,1908-03-29,Belgium,Netherlands,1.0,4.0,Friendly,Antwerp,Belgium,False
220,1908-04-04,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False
222,1908-04-05,Switzerland,Germany,5.0,3.0,Friendly,Basel,Switzerland,False
225,1908-04-12,France,Belgium,1.0,2.0,Friendly,Colombes,France,False
226,1908-04-26,Netherlands,Belgium,3.0,1.0,Friendly,Rotterdam,Netherlands,False
228,1908-05-10,Netherlands,France,4.0,1.0,Friendly,Rotterdam,Netherlands,False
229,1908-06-06,Austria,England,1.0,6.0,Friendly,Vienna,Austria,False
231,1908-06-08,Austria,England,1.0,11.0,Friendly,Vienna,Austria,False
232,1908-06-10,Hungary,England,0.0,7.0,Friendly,Budapest,Hungary,False
233,1908-06-13,Czechoslovakia,England,0.0,4.0,Friendly,Prague,Bohemia,False
234,1908-07-12,Sweden,Norway,11.0,3.0,Friendly,Gothenburg,Sweden,False
235,1908-08-15,Uruguay,Argentina,2.0,2.0,Copa Lipton,Montevideo,Uruguay,False
236,1908-09-13,Argentina,Uruguay,2.0,1.0,Copa Newton,Buenos Aires,Argentina,False
237,1908-10-04,Argentina,Uruguay,0.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
238,1908-10-22,France,Denmark,1.0,17.0,Olympic Games,London,England,True
241,1908-10-26,Belgium,Sweden,2.0,1.0,Friendly,Brussels,Belgium,False
243,1909-02-13,England,Northern Ireland,4.0,0.0,British Home Championship,Bradford,England,False
245,1909-03-15,England,Wales,2.0,0.0,British Home Championship,Nottingham,England,False
249,1909-03-21,Belgium,Netherlands,1.0,4.0,Friendly,Antwerp,Belgium,False
251,1909-04-03,England,Scotland,2.0,0.0,British Home Championship,London,England,False
252,1909-04-04,Germany,Switzerland,1.0,0.0,Friendly,Karlsruhe,Germany,False
254,1909-04-25,Netherlands,Belgium,4.0,1.0,Friendly,Rotterdam,Netherlands,False
256,1909-05-09,Belgium,France,5.0,2.0,Friendly,Brussels,Belgium,False
257,1909-05-29,Hungary,England,2.0,4.0,Friendly,Budapest,Hungary,False
259,1909-05-31,Hungary,England,2.0,8.0,Friendly,Budapest,Hungary,False
260,1909-06-01,Austria,England,1.0,8.0,Friendly,Vienna,Austria,False
261,1909-08-15,Argentina,Uruguay,2.0,1.0,Copa Lipton,Buenos Aires,Argentina,False
262,1909-09-19,Uruguay,Argentina,2.0,2.0,Copa Newton,Montevideo,Uruguay,False
263,1909-10-10,Argentina,Uruguay,3.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
265,1910-02-12,Northern Ireland,England,1.0,1.0,British Home Championship,Belfast,Ireland,False
267,1910-03-13,Belgium,Netherlands,3.0,2.0,Friendly,Antwerp,Belgium,False
268,1910-03-14,Wales,England,0.0,1.0,British Home Championship,Cardiff,Wales,False
270,1910-04-02,Scotland,England,2.0,0.0,British Home Championship,Glasgow,Scotland,False
271,1910-04-03,France,Belgium,0.0,4.0,Friendly,Gentilly,France,False
272,1910-04-03,Switzerland,Germany,2.0,3.0,Friendly,Basel,Switzerland,False
274,1910-04-10,Netherlands,Belgium,7.0,0.0,Friendly,Haarlem,Netherlands,False
279,1910-05-15,Italy,France,6.0,2.0,Friendly,Milan,Italy,False
280,1910-05-16,Germany,Belgium,0.0,3.0,Friendly,Duisburg,Germany,False
282,1910-05-27,Argentina,Chile,3.0,1.0,Friendly,Buenos Aires,Argentina,False
284,1910-06-05,Argentina,Chile,5.0,1.0,Friendly,Buenos Aires,Argentina,False
285,1910-06-12,Argentina,Uruguay,4.0,1.0,Friendly,Buenos Aires,Argentina,False
286,1910-08-15,Uruguay,Argentina,3.0,1.0,Copa Lipton,Montevideo,Uruguay,False
287,1910-09-11,Chile,Argentina,0.0,3.0,Friendly,Viña del Mar,Chile,False
288,1910-09-11,Norway,Sweden,0.0,4.0,Friendly,Kristiania,Norway,False
293,1910-11-13,Argentina,Uruguay,1.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
294,1910-11-27,Argentina,Uruguay,2.0,6.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
295,1911-01-01,France,Hungary,0.0,3.0,Friendly,Maisons-Alfort,France,False
297,1911-01-08,Switzerland,Hungary,2.0,0.0,Friendly,Zürich,Switzerland,False
299,1911-02-11,England,Northern Ireland,2.0,1.0,British Home Championship,Derby,England,False
301,1911-03-13,England,Wales,3.0,0.0,British Home Championship,London,England,False
303,1911-03-19,Belgium,Netherlands,1.0,5.0,Friendly,Antwerp,Belgium,False
304,1911-03-26,Germany,Switzerland,6.0,2.0,Friendly,Stuttgart,Germany,False
305,1911-04-01,England,Scotland,1.0,1.0,British Home Championship,Liverpool,England,False
306,1911-04-02,Netherlands,Belgium,3.0,1.0,Friendly,Dordrecht,Netherlands,False
307,1911-04-09,France,Italy,2.0,2.0,Friendly,Saint-Ouen-l'Aumône,France,False
309,1911-04-23,Belgium,Germany,2.0,1.0,Friendly,Liège,Belgium,False
310,1911-04-23,Switzerland,France,5.0,2.0,Friendly,Geneva,Switzerland,False
312,1911-04-30,Belgium,France,7.0,1.0,Friendly,Uccle,Belgium,False
314,1911-05-07,Italy,Switzerland,2.0,2.0,Friendly,Milan,Italy,False
315,1911-05-21,Switzerland,Italy,3.0,0.0,Friendly,La Chaux-de-Fonds,Switzerland,False
317,1911-08-15,Argentina,Uruguay,0.0,2.0,Copa Lipton,Buenos Aires,Argentina,False
318,1911-09-17,Sweden,Norway,4.0,1.0,Friendly,Solna,Sweden,False
319,1911-09-17,Uruguay,Argentina,2.0,3.0,Copa Newton,Montevideo,Uruguay,False
320,1911-10-08,Uruguay,Argentina,1.0,1.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
322,1911-10-22,Argentina,Uruguay,2.0,0.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
325,1911-10-29,Hungary,Switzerland,9.0,0.0,Friendly,Budapest,Hungary,False
326,1911-10-29,Luxembourg,France,1.0,4.0,Friendly,Luxembourg,Luxembourg,False
327,1911-10-29,Uruguay,Argentina,3.0,0.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
330,1912-01-28,France,Belgium,1.0,1.0,Friendly,Saint-Ouen-l'Aumône,France,False
331,1912-02-10,Northern Ireland,England,1.0,6.0,British Home Championship,Dublin,Ireland,False
332,1912-02-10,France,Catalonia,7.0,0.0,Friendly,Paris,France,False
333,1912-02-18,France,Switzerland,4.0,1.0,Friendly,Saint-Ouen-l'Aumône,France,False
334,1912-02-20,Belgium,Switzerland,9.0,2.0,Friendly,Antwerp,Belgium,False
336,1912-03-10,Belgium,Netherlands,1.0,2.0,Friendly,Antwerp,Belgium,False
337,1912-03-11,Wales,England,0.0,2.0,British Home Championship,Wrexham,Wales,False
339,1912-03-17,Italy,France,3.0,4.0,Friendly,Turin,Italy,False
340,1912-03-23,Scotland,England,1.0,1.0,British Home Championship,Glasgow,Scotland,False
347,1912-04-28,Netherlands,Belgium,4.0,3.0,Friendly,Dordrecht,Netherlands,False
349,1912-05-05,Switzerland,Germany,1.0,2.0,Friendly,St. Gallen,Switzerland,False
351,1912-06-16,Norway,Sweden,1.0,2.0,Friendly,Kristiania,Norway,False
353,1912-06-23,Norway,Hungary,0.0,6.0,Friendly,Kristiania,Norway,False
359,1912-06-30,Denmark,Norway,7.0,0.0,Olympic Games,Stockholm,Sweden,True
361,1912-07-01,Austria,Norway,1.0,0.0,Olympic Games,Stockholm,Sweden,True
367,1912-07-03,Norway,Russia,2.0,1.0,Friendly,Stockholm,Sweden,True
372,1912-08-15,Uruguay,Argentina,2.0,0.0,Copa Lipton,Montevideo,Uruguay,False
373,1912-08-25,Uruguay,Argentina,3.0,0.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
374,1912-09-22,Argentina,Uruguay,0.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
375,1912-10-06,Argentina,Uruguay,3.0,3.0,Copa Newton,Avellaneda,Argentina,False
378,1912-11-03,Sweden,Norway,4.0,2.0,Friendly,Gothenburg,Sweden,False
380,1912-12-01,Uruguay,Argentina,1.0,3.0,Friendly,Montevideo,Uruguay,False
381,1912-12-01,Catalonia,France,1.0,0.0,Friendly,Barcelona,Spain,False
383,1913-01-12,France,Italy,1.0,0.0,Friendly,Saint-Ouen-l'Aumône,France,False
386,1913-02-15,Northern Ireland,England,2.0,1.0,British Home Championship,Belfast,Ireland,False
387,1913-02-16,Belgium,France,3.0,0.0,Friendly,Brussels,Belgium,False
389,1913-03-09,Belgium,Netherlands,3.0,3.0,Friendly,Antwerp,Belgium,False
390,1913-03-09,Switzerland,France,1.0,4.0,Friendly,Geneva,Switzerland,False
392,1913-03-17,England,Wales,4.0,3.0,British Home Championship,Bristol,England,False
394,1913-04-05,England,Scotland,1.0,0.0,British Home Championship,London,England,False
396,1913-04-20,France,Luxembourg,8.0,0.0,Friendly,Saint-Ouen-l'Aumône,France,False
397,1913-04-20,Netherlands,Belgium,2.0,4.0,Friendly,Zwolle,Netherlands,False
399,1913-05-01,Italy,Belgium,1.0,0.0,Friendly,Turin,Italy,False
401,1913-05-04,Switzerland,Belgium,1.0,2.0,Friendly,Basel,Switzerland,False
402,1913-05-18,Germany,Switzerland,1.0,2.0,Friendly,Freiburg,Germany,False
405,1913-06-08,Sweden,Norway,9.0,0.0,Friendly,Stockholm,Sweden,False
406,1913-06-15,Argentina,Uruguay,1.0,1.0,Friendly,Avellaneda,Argentina,False
408,1913-07-09,Argentina,Uruguay,2.0,1.0,Friendly,Avellaneda,Argentina,False
409,1913-08-15,Argentina,Uruguay,4.0,0.0,Copa Lipton,Avellaneda,Argentina,False
410,1913-08-31,Argentina,Uruguay,2.0,0.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
411,1913-09-14,Russia,Norway,1.0,1.0,Friendly,Moscow,Russia,False
412,1913-09-21,Chile,Argentina,0.0,2.0,Friendly,Viña del Mar,Chile,False
414,1913-10-05,Uruguay,Argentina,1.0,0.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
417,1913-10-26,Norway,Sweden,1.0,1.0,Friendly,Kristiania,Norway,False
418,1913-10-26,Uruguay,Argentina,1.0,0.0,Copa Newton,Montevideo,Uruguay,False
419,1913-11-02,Belgium,Switzerland,2.0,0.0,Friendly,Verviers,Belgium,False
420,1913-11-23,Belgium,Germany,6.0,2.0,Friendly,Antwerp,Belgium,False
423,1914-01-25,France,Belgium,4.0,3.0,Friendly,Lille,France,False
424,1914-02-08,Luxembourg,France,5.0,4.0,Friendly,Luxembourg,Luxembourg,False
425,1914-02-14,England,Northern Ireland,0.0,3.0,British Home Championship,Middlesbrough,England,False
427,1914-03-08,France,Switzerland,2.0,2.0,Friendly,Saint-Ouen-l'Aumône,France,False
429,1914-03-15,Belgium,Netherlands,2.0,4.0,Friendly,Antwerp,Belgium,False
430,1914-03-16,Wales,England,0.0,2.0,British Home Championship,Cardiff,Wales,False
431,1914-03-29,Italy,France,2.0,0.0,Friendly,Turin,Italy,False
433,1914-04-04,Scotland,England,3.0,1.0,British Home Championship,Glasgow,Scotland,False
434,1914-04-05,Italy,Switzerland,1.0,1.0,Friendly,Genoa,Italy,False
437,1914-04-26,Netherlands,Belgium,4.0,2.0,Friendly,Amsterdam,Netherlands,False
440,1914-05-17,Switzerland,Italy,0.0,1.0,Friendly,Bern,Switzerland,False
442,1914-05-31,Hungary,France,5.0,1.0,Friendly,Budapest,Hungary,False
444,1914-06-28,Norway,Sweden,0.0,1.0,Friendly,Kristiania,Norway,False
446,1914-07-12,Norway,Russia,1.0,1.0,Friendly,Kristiania,Norway,False
447,1914-08-30,Uruguay,Argentina,3.0,2.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
448,1914-09-13,Argentina,Uruguay,2.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
449,1914-09-20,Argentina,Brazil,3.0,0.0,Friendly,Buenos Aires,Argentina,False
450,1914-09-27,Argentina,Brazil,0.0,1.0,Copa Roca,Buenos Aires,Argentina,False
452,1914-10-25,Sweden,Norway,7.0,0.0,Friendly,Solna,Sweden,False
455,1915-01-31,Italy,Switzerland,3.0,1.0,Friendly,Turin,Italy,False
463,1915-06-27,Norway,Sweden,1.0,1.0,Friendly,Kristiania,Norway,False
464,1915-07-18,Uruguay,Argentina,2.0,3.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
465,1915-08-15,Argentina,Uruguay,2.0,1.0,Copa Lipton,Buenos Aires,Argentina,False
466,1915-09-12,Uruguay,Argentina,2.0,0.0,Copa Newton,Montevideo,Uruguay,False
467,1915-09-19,Denmark,Norway,8.0,1.0,Friendly,Copenhagen,Denmark,False
469,1915-10-24,Sweden,Norway,5.0,2.0,Friendly,Stockholm,Sweden,False
478,1916-06-25,Norway,Denmark,0.0,2.0,Friendly,Kristiania,Norway,False
480,1916-07-02,Sweden,Norway,6.0,0.0,Friendly,Stockholm,Sweden,False
481,1916-07-06,Argentina,Chile,6.0,1.0,Copa América,Buenos Aires,Argentina,False
483,1916-07-10,Argentina,Brazil,1.0,1.0,Copa América,Buenos Aires,Argentina,False
484,1916-07-12,Argentina,Chile,1.0,0.0,Friendly,Buenos Aires,Argentina,False
487,1916-07-17,Argentina,Uruguay,0.0,0.0,Copa América,Avellaneda,Argentina,False
489,1916-08-15,Argentina,Uruguay,3.0,1.0,Copa Newton,Avellaneda,Argentina,False
490,1916-08-15,Uruguay,Argentina,1.0,2.0,Copa Lipton,Montevideo,Uruguay,False
491,1916-08-20,Sweden,United States,2.0,3.0,Friendly,Stockholm,Sweden,False
492,1916-09-03,Norway,United States,1.0,1.0,Friendly,Kristiania,Norway,False
493,1916-10-01,Argentina,Uruguay,7.0,2.0,Friendly,Avellaneda,Argentina,False
495,1916-10-01,Norway,Sweden,0.0,0.0,Friendly,Kristiania,Norway,False
496,1916-10-01,Uruguay,Argentina,0.0,1.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
498,1916-10-15,Denmark,Norway,8.0,0.0,Friendly,Copenhagen,Denmark,False
499,1916-10-29,Uruguay,Argentina,3.0,1.0,Friendly,Montevideo,Uruguay,False
508,1917-06-17,Norway,Denmark,1.0,2.0,Friendly,Kristiania,Norway,False
510,1917-07-18,Uruguay,Argentina,0.0,2.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
511,1917-08-15,Argentina,Uruguay,1.0,0.0,Copa Lipton,Avellaneda,Argentina,False
512,1917-08-19,Sweden,Norway,3.0,3.0,Friendly,Helsingborg,Sweden,False
513,1917-09-02,Uruguay,Argentina,1.0,0.0,Copa Newton,Montevideo,Uruguay,False
514,1917-09-16,Norway,Sweden,0.0,2.0,Friendly,Kristiania,Norway,False
516,1917-10-03,Argentina,Brazil,4.0,2.0,Copa América,Montevideo,Uruguay,True
517,1917-10-06,Argentina,Chile,1.0,0.0,Copa América,Montevideo,Uruguay,True
518,1917-10-07,Denmark,Norway,12.0,0.0,Friendly,Copenhagen,Denmark,False
523,1917-10-14,Uruguay,Argentina,1.0,0.0,Copa América,Montevideo,Uruguay,False
526,1917-12-23,Switzerland,Austria,0.0,1.0,Friendly,Basel,Switzerland,False
527,1917-12-26,Switzerland,Austria,3.0,2.0,Friendly,Zürich,Switzerland,False
529,1918-05-09,Austria,Switzerland,5.0,1.0,Friendly,Vienna,Austria,False
530,1918-05-12,Hungary,Switzerland,2.0,1.0,Friendly,Budapest,Hungary,False
531,1918-05-26,Sweden,Norway,2.0,0.0,Friendly,Stockholm,Sweden,False
534,1918-06-16,Norway,Denmark,3.0,1.0,Friendly,Kristiania,Norway,False
535,1918-07-18,Uruguay,Argentina,1.0,1.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
536,1918-07-28,Uruguay,Argentina,3.0,1.0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False
537,1918-08-15,Argentina,Uruguay,0.0,0.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
538,1918-08-25,Argentina,Uruguay,2.0,1.0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
539,1918-09-15,Norway,Sweden,2.0,1.0,Friendly,Kristiania,Norway,False
540,1918-09-20,Uruguay,Argentina,1.0,1.0,Copa Lipton,Montevideo,Uruguay,False
541,1918-09-29,Argentina,Uruguay,2.0,0.0,Copa Newton,Buenos Aires,Argentina,False
543,1918-10-06,Denmark,Norway,4.0,0.0,Friendly,Copenhagen,Denmark,False
545,1919-03-09,Belgium,France,2.0,2.0,Friendly,Brussels,Belgium,False
549,1919-05-11,Paraguay,Argentina,1.0,5.0,Friendly,Asunción,Paraguay,False
551,1919-05-13,Argentina,Uruguay,2.0,3.0,Copa América,Rio de Janeiro,Brazil,True
553,1919-05-15,Paraguay,Argentina,0.0,3.0,Friendly,Asunción,Paraguay,False
556,1919-05-18,Brazil,Argentina,3.0,1.0,Copa América,Rio de Janeiro,Brazil,False
557,1919-05-21,Paraguay,Argentina,1.0,2.0,Friendly,Asunción,Paraguay,False
558,1919-05-22,Argentina,Chile,4.0,1.0,Copa América,Rio de Janeiro,Brazil,True
559,1919-05-24,Paraguay,Argentina,1.0,2.0,Friendly,Asunción,Paraguay,False
563,1919-06-01,Brazil,Argentina,3.0,3.0,Friendly,Rio de Janeiro,Brazil,False
566,1919-06-12,Denmark,Norway,5.0,1.0,Friendly,Copenhagen,Denmark,False
567,1919-06-24,France,Romania,4.0,0.0,Inter-Allied Games,Paris,France,False
568,1919-06-24,Czechoslovakia,Belgium,4.0,1.0,Inter-Allied Games,Paris,France,True
570,1919-06-25,United States,Canada,5.0,4.0,Inter-Allied Games,Paris,France,True
572,1919-06-26,France,Greece,11.0,0.0,Inter-Allied Games,Paris,France,False
573,1919-06-26,Czechoslovakia,United States,8.0,2.0,Inter-Allied Games,Paris,France,True
574,1919-06-26,Belgium,Canada,5.0,2.0,Inter-Allied Games,Paris,France,True
576,1919-06-28,France,Italy,2.0,0.0,Inter-Allied Games,Paris,France,False
578,1919-06-28,Belgium,United States,7.0,0.0,Inter-Allied Games,Paris,France,True
579,1919-06-29,France,Czechoslovakia,2.0,3.0,Inter-Allied Games,Paris,France,False
